predictor,official_index,true_class_id,true_class_name,displacement_pixels,direction,transformed_rgb_sha256,clean_predicted_class_id,transformed_predicted_class_id,transformed_correct,matches_clean_prediction,transformed_maximum_confidence
vit_b_16_linear_head,3,0,airplane,32,right,befff3687bb24800a913b06876f8acd59c96aafe14e48cc09f4411c18469fb8a,0,0,True,True,0.8750717043876648
vit_b_16_linear_head,29,7,monkey,32,right,54bd9658ecec00380981bbc712b17b6c2acb2b502239203ee4a55095a852db81,7,7,True,True,0.9886914491653442
vit_b_16_linear_head,35,2,car,32,right,94eb9bedc5ab074cc62e45b45d28225fc9c1cd3d795f806a3b885bc8d229e83a,2,2,True,True,0.9752923846244812
vit_b_16_linear_head,42,0,airplane,32,right,b7fc295b823cc239b3602ae8690c57d85d1d62af9f324e0faef7fe055c1e8b0a,0,0,True,True,0.9895792603492737
vit_b_16_linear_head,49,2,car,32,right,087e4827389cff0fdf50d5723a69b8bf13885a12c53c1ddaac7f0e9ec9aa2eb5,2,2,True,True,0.9649388194084167
vit_b_16_linear_head,81,0,airplane,32,right,b90cae20f5cbdcc9e27c58c4c4167c6083b8bb65c31f81ea24a693a005303cf7,0,0,True,True,0.9159603118896484
vit_b_16_linear_head,95,1,bird,32,right,0ebaa51649b823fc283784a4ef72ab9ff823f078a7456b1bd866e47c8dacc2eb,1,1,True,True,0.9965698719024658
vit_b_16_linear_head,97,5,dog,32,right,ab88dbc0ddbe417852f50a5153abdf0158cfc775ebcfc99bc00f3bfa9e00e2cf,5,5,True,True,0.7312192320823669
vit_b_16_linear_head,116,1,bird,32,right,d7322aa59254561994c65cf61ef5e9ae01c86e920453c01571397efce241abd3,1,1,True,True,0.983283281326294
vit_b_16_linear_head,131,9,truck,32,right,daacb3bf6a54142fcd8e37847176806d54cdadda9498b04d67e8f6e8d8a99670,9,9,True,True,0.9726559519767761
vit_b_16_linear_head,151,8,ship,32,right,3b7d070b403c4e5f86898b859adb8f0767bcadef6ce5a46494323d8bc484d096,8,8,True,True,0.9857954978942871
vit_b_16_linear_head,171,4,deer,32,right,1beefdb65d9214c94165a43299af464ae3a3f2268d5e8846564d981531f82ed1,4,4,True,True,0.9760718941688538
vit_b_16_linear_head,176,3,cat,32,right,dfb004098a951e7c50984ac8444314c0894112ea841d2dacf79e9fffa49e5d96,3,3,True,True,0.9806517958641052
vit_b_16_linear_head,191,9,truck,32,right,f45258ee3e8b47a6c923d34c4e0134ec7292209ee107249813211cb3d9cb92ba,9,9,True,True,0.8739287853240967
vit_b_16_linear_head,194,8,ship,32,right,3b7f6f643433249b7f20bcb8d8ebd43bb5ec6caaf4d59495d3bbade7df7ac51a,8,8,True,True,0.9964699745178223
vit_b_16_linear_head,198,1,bird,32,right,90dbc03f0d8857a9cfe32e602081b182fb8e5f636b6c429c9770e3b6dba715b2,1,1,True,True,0.9508067965507507
vit_b_16_linear_head,239,9,truck,32,right,11f4bcffb954933bc230d3d2e9983d2cdf7989ce9454b39c6337524ea888279e,9,9,True,True,0.9730928540229797
vit_b_16_linear_head,261,1,bird,32,right,fa28a0031944b438e70daade599fe84f15a3756689cfd02a47a8bc0a4472b0f3,5,5,False,True,0.23032227158546448
vit_b_16_linear_head,269,7,monkey,32,right,db5aafc4cc351575f6eee47a49badc0c98884e85b87b5722d20c1c7c272cb607,7,7,True,True,0.9819965362548828
vit_b_16_linear_head,276,9,truck,32,right,25aad6b4081d959f11c324b4143c8d8fd868a79e4fde10f8c052a0fe91092fb2,9,9,True,True,0.9534187316894531
vit_b_16_linear_head,303,9,truck,32,right,b4626c97d9f558dc1495977b019fa26635385e4f0ca28e258f8b7be27b1e2fe3,9,9,True,True,0.9798775315284729
vit_b_16_linear_head,304,1,bird,32,right,3943101f11d119b7c50681286767d4186f8dd53c49e262ea910b1a872295f3c2,1,7,False,False,0.5009614825248718
vit_b_16_linear_head,317,2,car,32,right,a37abed7ca796ae5077057fa95568c73583b342ca478ad3688caa945cc3fde6a,2,2,True,True,0.977425217628479
vit_b_16_linear_head,319,5,dog,32,right,ace64914b793b801e2e39f69eb23d81d36a2ee439707c7c6a1f3f435ddaee188,5,5,True,True,0.8828644156455994
vit_b_16_linear_head,323,7,monkey,32,right,04e5efde6accb0a3de24992936353fe8de8931a504bc17b8a533ff5ae0ffa45f,7,7,True,True,0.9965234398841858
vit_b_16_linear_head,365,3,cat,32,right,beb47516e94cea615e28b843d4ab0f88ebd14dfe8c59c3b18dc25d93f860253a,3,3,True,True,0.9543040990829468
vit_b_16_linear_head,370,7,monkey,32,right,8c0b1a81fe683b89a44bbf09ec2e0bd2c692c6dcf7311e35a9408e6955c55fc1,7,7,True,True,0.9895957112312317
vit_b_16_linear_head,372,3,cat,32,right,58ff53fea9fc72769265170d67852968587eaedd5ccf11295a35e58687784323,3,3,True,True,0.9891067147254944
vit_b_16_linear_head,378,5,dog,32,right,c916ca45e20d26ea722bfb0a7549112477e9dbe3f12789f2cdf68ae311255933,5,5,True,True,0.9027712345123291
vit_b_16_linear_head,391,3,cat,32,right,d506db9ebe7521cc1ddaa74f9f355c41c28655f23f0623d5dd4154f7b3081e66,3,3,True,True,0.995061457157135
vit_b_16_linear_head,409,2,car,32,right,094f73a5a19493e99ad70c586adaf628d154a0399ab36f11d5e3af79586e4fb5,2,2,True,True,0.989003598690033
vit_b_16_linear_head,419,9,truck,32,right,21dd827f12593f5ea30306b75283b786814af72a087108850b5f5183df8f7f07,9,9,True,True,0.8942338228225708
vit_b_16_linear_head,449,6,horse,32,right,d22f11aae25fc5f78ba7c3c8fde926c16db0a77da93524ac58f2485637236274,6,6,True,True,0.9931676983833313
vit_b_16_linear_head,470,2,car,32,right,82f47dd8d8b322ae5aea7811eb5efb64bb42787f6ee06303648555bd89b6e481,2,2,True,True,0.9669819474220276
vit_b_16_linear_head,483,2,car,32,right,9f5f29936e2b2f1ca54ada1bd70a6bd5e5612682de99b598fce3912916ac7a14,2,2,True,True,0.9522058367729187
vit_b_16_linear_head,484,0,airplane,32,right,a18c1a01955fe1ed091d6251e7124355aac9b45bf5b63f52bab4ed035b97c7c6,0,0,True,True,0.6150811910629272
vit_b_16_linear_head,506,4,deer,32,right,ad6c326bb0f8d79202457db32716bc5fbccb9a960686a7e5810d8f77d56ad654,4,4,True,True,0.9312797784805298
vit_b_16_linear_head,545,6,horse,32,right,863cf0b86014403bfa321a2e440c77c544b475a763e0cf7ec5702195b4dd93af,6,6,True,True,0.9492066502571106
vit_b_16_linear_head,562,0,airplane,32,right,4183839a2cc8b89d1ea0500940691bf47bf0fae5261d9d3d69da3c454f252373,0,0,True,True,0.9956716299057007
vit_b_16_linear_head,568,5,dog,32,right,aec7e1fb0fd04a22cbafd4b98315eb2e75b86f89dabefa64d8a7915568bd31bd,5,5,True,True,0.8739940524101257
vit_b_16_linear_head,603,9,truck,32,right,a1ac7a7d696a558501bb50c57a6caba9b59ef76499f6c842629a2d2b42ccb983,9,9,True,True,0.9738335609436035
vit_b_16_linear_head,632,3,cat,32,right,dd3cf9988122dac6713e9f0f31c2949921e317caf4d0c999295b6a84512acf56,3,3,True,True,0.9896344542503357
vit_b_16_linear_head,645,5,dog,32,right,3c916794ecd9cb91c8bb2c25334c42abd1667f31c663d3c1b751fdbabf179a58,5,5,True,True,0.9878398776054382
vit_b_16_linear_head,667,8,ship,32,right,50b18b5455848c1fdebcb174ec791613a596e94c8373b189b97d5899aad19b88,8,8,True,True,0.9733152389526367
vit_b_16_linear_head,672,3,cat,32,right,e817281a1991016ef50f8e856fe8cc6c9a90e7f047934b002ca15d1ab964fcbf,3,3,True,True,0.9983402490615845
vit_b_16_linear_head,677,3,cat,32,right,dc0001fca7895236fc5d8c39e9ea0c05294678eed30a7bbfb2df59fa3ac2f40f,3,3,True,True,0.985154926776886
vit_b_16_linear_head,685,5,dog,32,right,b6285bd3b0de881916f2b59d7688aa2193877be9542afdf13932c16406c35c8f,5,5,True,True,0.938325047492981
vit_b_16_linear_head,691,4,deer,32,right,5bddc3740c911944f8d45bce00bf5446942422f31bf3d0fa5e9ffc4a1021a3b1,4,4,True,True,0.9965701103210449
vit_b_16_linear_head,706,8,ship,32,right,2df4903f1292b109f7d54c744b25edd6a9716f079e16cc441a03a0a1564ff6cb,8,8,True,True,0.9915642738342285
vit_b_16_linear_head,714,2,car,32,right,81d359ea541369eb77f7bfdd2a276b8ae7eb0ae473f7dd7b5ba68fbe1ec80e14,2,2,True,True,0.526199221611023
vit_b_16_linear_head,716,8,ship,32,right,e70340570efb32725d98dedea6f94e4bacc74624e0243e4c0c050657051039e7,8,8,True,True,0.9311326146125793
vit_b_16_linear_head,738,3,cat,32,right,7601af219785cff17ef3d69cc3530e9d225a080219ec49c8d4e1a7ec18151e93,3,3,True,True,0.596062421798706
vit_b_16_linear_head,739,8,ship,32,right,8653622a965e01e9fbaaa70a8b7404662de42c7339e9b4dec9e976c781375bbe,8,8,True,True,0.9796706438064575
vit_b_16_linear_head,766,4,deer,32,right,b63454b7e7dfffcf7c7d314ad24d465bc009547a64d46d731c3bb18fb03fb543,6,6,False,True,0.9666652679443359
vit_b_16_linear_head,791,3,cat,32,right,f293a3af683ff0c447a5e3eaf4392395cccc5c37222515b22370d9b6ed286de8,3,3,True,True,0.9874309301376343
vit_b_16_linear_head,805,9,truck,32,right,5dabe7892fc11dedc532dafba7a7cf91959996a0c351e5ee49d6d5486bca7693,9,9,True,True,0.9172638058662415
vit_b_16_linear_head,825,1,bird,32,right,d762afaae198b92243aa10f562a85d3ee905ce6e36e9f24bd0799dc93a245f01,1,1,True,True,0.9337253570556641
vit_b_16_linear_head,852,9,truck,32,right,96d8cda5f6b87c1a5af444319f2b1ae78a5a1421c64682c9331ee14b2658e8a7,9,9,True,True,0.9824734926223755
vit_b_16_linear_head,855,4,deer,32,right,627e1a0b2784e79b553f7f7e30d89dd75ac10c5c09d6c820a8ad47eca5becc61,4,4,True,True,0.9968846440315247
vit_b_16_linear_head,873,6,horse,32,right,5e31cef2f33a788e21c63511ad1d88eda0c0386ab3c782a5f7ed4ff7e202f6b6,6,6,True,True,0.9185145497322083
vit_b_16_linear_head,890,6,horse,32,right,30f9f5dbffea96ba32e6d6ad2a2ba3e366fb124df113ee3a2e18d57ba6d072bb,6,6,True,True,0.9589282870292664
vit_b_16_linear_head,920,6,horse,32,right,951a9645bea89b8a2957fd8d3ee7b6fbdf98f2df2e01b64492c32288c4f1e450,6,6,True,True,0.9876629710197449
vit_b_16_linear_head,929,6,horse,32,right,2abc2cea72e7ab1bedae492d34e4fdc48c0b6927f1ebbefeb0211991f2364c28,6,6,True,True,0.7449386119842529
vit_b_16_linear_head,962,8,ship,32,right,b087516615883d51e6970c77482dbe78e1c7228662c43df0f56a1565f4490f6a,8,8,True,True,0.9962928891181946
vit_b_16_linear_head,964,6,horse,32,right,a9df6304e8258ab2a5fb6e94919e4b8b7b835210858ffd05a829c5ad754661ae,6,6,True,True,0.9272286295890808
vit_b_16_linear_head,977,6,horse,32,right,e7eea80641e26db19edf1b28f301bb5cd1115b7ba74885e5ca08479eaed191a8,6,6,True,True,0.9949829578399658
vit_b_16_linear_head,979,3,cat,32,right,39e778e62f54b59d485c611bfde1cae1f697dacabba3199010e2210682119329,3,3,True,True,0.9019222855567932
vit_b_16_linear_head,981,2,car,32,right,58bdf3a78c547cfefb72cc051bf6027c9ac0afe34171b0e74250ef0de4695735,2,2,True,True,0.9860286116600037
vit_b_16_linear_head,1022,9,truck,32,right,033e0c7b0d53ccf80c3223eebd8d15f0512e336c49f3c4f1f5311b2a3f898511,9,9,True,True,0.5130411982536316
vit_b_16_linear_head,1032,7,monkey,32,right,dea8a57eaa2a2ab660c32713cd72bee7b63b308514bec4f62c94c55c7a3df7fd,7,7,True,True,0.9659152626991272
vit_b_16_linear_head,1048,7,monkey,32,right,46776ee682126fef12b4c070ded8bca0678ba752a32c9fe441c7bba1d9709316,7,7,True,True,0.9493223428726196
vit_b_16_linear_head,1090,1,bird,32,right,8609737399d44565f9f8bd886f2550081ea134c4b465673721e854f27e6ad229,1,1,True,True,0.9259082078933716
vit_b_16_linear_head,1095,5,dog,32,right,5a2ad5182de9201d12413cfc8dc037930108ecb15f67fa6739b86c8ec36e4b22,5,5,True,True,0.9261975288391113
vit_b_16_linear_head,1109,1,bird,32,right,38cce8780e36417a337ab22a6daccc47658220440ee55ddfb7cfe303dd4ce713,1,1,True,True,0.7067428231239319
vit_b_16_linear_head,1111,4,deer,32,right,cc19c292f3f771862d08ad11a4b5fbf00f0cd30a3a298a518db78a7b8b363f10,4,4,True,True,0.9322335720062256
vit_b_16_linear_head,1115,1,bird,32,right,b676b667ca2b3f32c453023a3fd3dd0218f351d0023da6a6f9874aa94718be49,1,1,True,True,0.7340470552444458
vit_b_16_linear_head,1124,4,deer,32,right,41a8f1a7496dbac3d79b9679d3409c5a3e73f57f9bfa455fa5aa2d57280973ad,4,4,True,True,0.9710789322853088
vit_b_16_linear_head,1129,8,ship,32,right,9f38f995fba59541357bce25c5a08eb3641181aed2febadbebe9e708ca8ba7b2,8,8,True,True,0.9916451573371887
vit_b_16_linear_head,1175,0,airplane,32,right,654b1dc688ad06f6ff297e9ef30664a7f5943eb82bc53f82fd581cf5f9253032,0,0,True,True,0.9961787462234497
vit_b_16_linear_head,1202,2,car,32,right,d4aeb6afe9f0bedff15fd0c19486b603335803617896dc7f82dbe8e0612a116f,2,2,True,True,0.9526737928390503
vit_b_16_linear_head,1204,3,cat,32,right,addae9cc67821e4a01d70eca35f36ab7b42cee3004d37e255f1507b060d962a8,3,3,True,True,0.9967555403709412
vit_b_16_linear_head,1211,4,deer,32,right,740a3a28549d5f18ee8ce028a6af47a75cbab5d0f5dd33d3cdfa98da117ee913,4,4,True,True,0.973936915397644
vit_b_16_linear_head,1220,7,monkey,32,right,c7d60bbbd120c03746117c558bed711380975352a943dc743bf9ca31002f3f47,7,7,True,True,0.9879297018051147
vit_b_16_linear_head,1230,1,bird,32,right,98714cb6203b7d7b69e13935e9706fc660933864bebec2698d7436e6f6d6194b,1,1,True,True,0.20708906650543213
vit_b_16_linear_head,1247,8,ship,32,right,0a4480dfce43dd2fe74ef736168177696a9c0a195a88be4837b40bd24eb3aa09,8,8,True,True,0.9438573718070984
vit_b_16_linear_head,1263,3,cat,32,right,dd9d4be0167ecc533c2d43731693412eb01ef32ca35a3bb127282e2d795b6a63,3,3,True,True,0.9527662992477417
vit_b_16_linear_head,1266,4,deer,32,right,ff872ad6b918681b8436ec5ae5de84ece4158caecb6bbe36816856ae06ef06fe,4,4,True,True,0.9465861916542053
vit_b_16_linear_head,1287,7,monkey,32,right,316fce934255ba97dbf9243c414a23e2352439a0024543391f070289d3810b07,7,7,True,True,0.9812822341918945
vit_b_16_linear_head,1296,7,monkey,32,right,0c838ea690fa1ac0bd9c04a0c89ff4256e0870c1aec7a3fd63553c8a0c763f93,7,7,True,True,0.9936271905899048
vit_b_16_linear_head,1370,3,cat,32,right,67a56746b0ab2de019f1a9d4f78fb48b916dbf9f40fd7a020d89b238be30f7a7,3,3,True,True,0.988585889339447
vit_b_16_linear_head,1389,0,airplane,32,right,0b55ee751f1d17dd05326910b05c2e0f42defbeee15f9a7e9adcfe877fed6520,0,0,True,True,0.9966228008270264
vit_b_16_linear_head,1401,3,cat,32,right,42c6cf9f68de7db1f9502c885d881898e878eb22c0371c821886e36aced194f6,3,3,True,True,0.9948562383651733
vit_b_16_linear_head,1403,2,car,32,right,db61da977633637324bafc463e81fed8dec590363fd352c68202ceb256b5d0fd,2,2,True,True,0.9804978370666504
vit_b_16_linear_head,1411,9,truck,32,right,ac2ad2dac98e2f71260f459af5ca5aeaf4aca5c56664865a155812558aee4f12,9,9,True,True,0.9639798998832703
vit_b_16_linear_head,1429,4,deer,32,right,4159f4857b8194caf2c4107e9d4a645ede4439fb74cc6e66c8ac1a23859f0483,4,4,True,True,0.9623975157737732
vit_b_16_linear_head,1430,9,truck,32,right,653de922e02e702edc58ca5969e6b322852dfbf1b2b21b750a452ef83b9cb03b,9,9,True,True,0.9748748540878296
vit_b_16_linear_head,1431,3,cat,32,right,ea2ad96bccb78b153a1e6df8687d0be72009235571bf6e29d786992d0c0cce47,3,3,True,True,0.9775092601776123
vit_b_16_linear_head,1436,1,bird,32,right,670adb02b95f708a664f472a8e8701b51d69ed4c29a1d1d50257f5d640a6d239,1,1,True,True,0.9958192110061646
vit_b_16_linear_head,1440,7,monkey,32,right,08ed53fcb97e4bc7ae94275813dcb07a3c2ecebdc6830499edba0eb3b47d7b4b,7,7,True,True,0.9945958256721497
vit_b_16_linear_head,1468,9,truck,32,right,3263d607d776dc6ac50307ec22dc33efa39eced324a60ed2e2eb6ea1fdc10416,9,9,True,True,0.9049572348594666
vit_b_16_linear_head,1473,7,monkey,32,right,3f2d01b069d5526ec97385695312c285bad6219af2165f19dfcafb8dae171b24,7,7,True,True,0.9664993286132812
